"n","celln5_f","celln5_e","celln5_fe","celln5_fer","celln5_lhi","celln5_cnp","celln5_rand","celln5_rand_lo","celln5_rand_hi","cellm5_f","cellm5_e","cellm5_fe","cellm5_fer","cellm5_lhi","cellm5_cnp","cellm5_rand","cellm5_rand_lo","cellm5_rand_hi","celln10_f","celln10_e","celln10_fe","celln10_fer","celln10_lhi","celln10_cnp","celln10_rand","celln10_rand_lo","celln10_rand_hi","cellm10_f","cellm10_e","cellm10_fe","cellm10_fer","cellm10_lhi","cellm10_cnp","cellm10_rand","cellm10_rand_lo","cellm10_rand_hi"
58,22,20,21,21,NA,NA,19,16,21,2.66666666666667,2.9,2.85,2.76190476190476,NA,NA,3.16666666666667,2.8,3.625,51,36,47,44,NA,NA,34,30,39,1.12,1.61111111111111,1.23913043478261,1.31818181818182,NA,NA,1.70588235294118,1.5,1.93333333333333
57,22,20,21,21,NA,NA,19,16,21,2.61904761904762,2.85,2.8,2.71428571428571,NA,NA,3.11111111111111,2.8,3.5625,50,36,47,44,NA,NA,34,30,38,1.12244897959184,1.58333333333333,1.21739130434783,1.29545454545455,NA,NA,1.67647058823529,1.5,1.9
56,22,20,21,21,NA,NA,19,16,21,2.57142857142857,2.8,2.75,2.66666666666667,NA,NA,3.05555555555556,2.75,3.5,49,36,46,44,NA,NA,34,29,38,1.125,1.55555555555556,1.22222222222222,1.27272727272727,NA,NA,1.66666666666667,1.47368421052632,1.89655172413793
55,22,20,21,21,NA,NA,19,16,21,2.52380952380952,2.75,2.7,2.61904761904762,NA,NA,3,2.7,3.4375,48,36,46,44,NA,NA,34,29,38,1.12765957446809,1.52777777777778,1.2,1.25,NA,NA,1.63636363636364,1.44736842105263,1.89655172413793
54,22,20,20,21,NA,NA,18,16,21,2.47619047619048,2.7,2.7,2.57142857142857,NA,NA,3,2.65,3.375,47,36,45,44,NA,NA,33,29,37,1.1304347826087,1.5,1.2,1.22727272727273,NA,NA,1.63636363636364,1.45945945945946,1.86206896551724
53,22,20,20,21,NA,NA,18,16,21,2.42857142857143,2.65,2.65,2.52380952380952,NA,NA,2.94444444444444,2.6,3.46666666666667,47,35,45,43,NA,NA,33,28,37,1.10869565217391,1.51428571428571,1.17777777777778,1.23255813953488,NA,NA,1.625,1.43243243243243,1.85714285714286
52,22,20,20,20,NA,NA,18,16,21,2.38095238095238,2.6,2.6,2.6,NA,NA,2.88888888888889,2.55,3.4,46,35,44,42,NA,NA,32,28,37,1.11111111111111,1.48571428571429,1.18181818181818,1.23809523809524,NA,NA,1.625,1.41666666666667,1.85714285714286
51,22,20,20,20,NA,NA,18,16,20,2.33333333333333,2.55,2.55,2.55,NA,NA,2.83333333333333,2.55,3.33333333333333,45,35,44,42,NA,NA,32,28,36,1.11363636363636,1.45714285714286,1.15909090909091,1.21428571428571,NA,NA,1.61290322580645,1.41666666666667,1.85185185185185
50,22,19,20,20,NA,NA,18,16,20,2.28571428571429,2.63157894736842,2.5,2.5,NA,NA,2.77777777777778,2.5,3.26666666666667,44,34,43,42,NA,NA,31,27,35,1.11627906976744,1.47058823529412,1.16279069767442,1.19047619047619,NA,NA,1.6,1.42857142857143,1.81481481481481
49,22,19,20,20,NA,NA,18,15,20,2.23809523809524,2.57894736842105,2.45,2.45,NA,NA,2.72222222222222,2.45,3.26666666666667,44,33,43,42,NA,NA,31,27,35,1.09302325581395,1.48484848484848,1.13953488372093,1.16666666666667,NA,NA,1.58064516129032,1.4,1.81481481481481
48,22,19,20,20,NA,NA,18,15,20,2.19047619047619,2.52631578947368,2.4,2.4,NA,NA,2.76470588235294,2.4,3.2,43,33,42,41,NA,NA,31,27,35,1.0952380952381,1.45454545454545,1.14285714285714,1.17073170731707,NA,NA,1.56666666666667,1.38235294117647,1.80769230769231
47,22,18,20,20,NA,NA,18,15,20,2.14285714285714,2.61111111111111,2.35,2.35,NA,NA,2.70588235294118,2.35,3.13333333333333,43,32,41,41,NA,NA,30,26,34,1.07142857142857,1.46875,1.14634146341463,1.14634146341463,NA,NA,1.56666666666667,1.38235294117647,1.80769230769231
46,22,18,20,20,NA,NA,17,15,20,2.0952380952381,2.55555555555556,2.3,2.3,NA,NA,2.70588235294118,2.3,3.06666666666667,43,31,40,40,NA,NA,30,26,33,1.04761904761905,1.48387096774194,1.15,1.15,NA,NA,1.55172413793103,1.36363636363636,1.76923076923077
45,22,18,20,20,NA,NA,17,15,20,2.04761904761905,2.5,2.25,2.25,NA,NA,2.64705882352941,2.31578947368421,3,42,31,39,40,NA,NA,29,25,33,1.04878048780488,1.45161290322581,1.15384615384615,1.125,NA,NA,1.55172413793103,1.34375,1.8
44,22,17,20,20,NA,NA,17,15,20,2,2.58823529411765,2.2,2.2,NA,NA,2.58823529411765,2.26315789473684,2.93333333333333,41,30,38,39,NA,NA,29,25,33,1.05,1.46666666666667,1.15789473684211,1.12820512820513,NA,NA,1.51724137931034,1.33333333333333,1.76
43,22,17,20,20,NA,NA,17,15,20,1.95238095238095,2.52941176470588,2.15,2.15,NA,NA,2.52941176470588,2.21052631578947,2.92857142857143,40,30,37,38,NA,NA,29,25,32,1.05128205128205,1.43333333333333,1.16216216216216,1.13157894736842,NA,NA,1.5,1.34375,1.75
42,22,17,20,20,NA,NA,17,14,20,1.9047619047619,2.47058823529412,2.1,2.1,NA,NA,2.47058823529412,2.15789473684211,3,39,30,36,37,NA,NA,28,24,32,1.05263157894737,1.4,1.16666666666667,1.13513513513514,NA,NA,1.5,1.3125,1.75
41,22,17,20,20,NA,NA,17,14,19,1.85714285714286,2.41176470588235,2.05,2.05,NA,NA,2.41176470588235,2.15789473684211,2.92857142857143,38,30,35,37,NA,NA,28,24,31,1.05405405405405,1.36666666666667,1.17142857142857,1.10810810810811,NA,NA,1.48148148148148,1.32258064516129,1.70833333333333
40,22,16,20,20,NA,NA,17,14,19,1.80952380952381,2.5,2,2,NA,NA,2.4375,2.10526315789474,2.85714285714286,38,29,34,36,NA,NA,27,23,31,1.02702702702703,1.37931034482759,1.17647058823529,1.11111111111111,NA,NA,1.48148148148148,1.3,1.73913043478261
39,22,16,20,19,NA,11,17,14,19,1.76190476190476,2.4375,1.95,2.05263157894737,NA,3.8,2.375,2.05263157894737,2.78571428571429,37,29,33,35,NA,21,27,23,30,1.02777777777778,1.3448275862069,1.18181818181818,1.11428571428571,NA,1.9,1.46153846153846,1.26666666666667,1.69565217391304
38,22,16,20,18,NA,NA,16,14,19,1.71428571428571,2.375,1.9,2.11111111111111,NA,NA,2.375,2,2.76923076923077,36,29,33,34,NA,NA,26,22,30,1.02857142857143,1.31034482758621,1.15151515151515,1.11764705882353,NA,NA,1.46153846153846,1.26666666666667,1.71428571428571
37,22,16,20,18,NA,NA,16,14,19,1.66666666666667,2.3125,1.85,2.05555555555556,NA,NA,2.3125,2,2.76923076923077,36,28,33,33,NA,NA,26,22,29,1,1.32142857142857,1.12121212121212,1.12121212121212,NA,NA,1.42307692307692,1.27586206896552,1.68181818181818
36,22,15,20,18,NA,NA,16,13,19,1.61904761904762,2.4,1.8,2,NA,NA,2.25,1.94444444444444,2.76923076923077,35,27,33,32,NA,NA,25,22,29,1,1.33333333333333,1.09090909090909,1.125,NA,NA,1.44,1.24137931034483,1.66666666666667
35,22,15,20,18,NA,NA,16,13,18,1.57142857142857,2.33333333333333,1.75,1.94444444444444,NA,NA,2.1875,1.94117647058824,2.69230769230769,34,27,33,31,NA,NA,25,21,28,1,1.2962962962963,1.06060606060606,1.12903225806452,NA,NA,1.4,1.21428571428571,1.66666666666667
34,22,15,20,18,NA,NA,16,13,18,1.52380952380952,2.26666666666667,1.7,1.88888888888889,NA,NA,2.125,1.88888888888889,2.61538461538462,33,26,32,31,NA,NA,24,21,28,1,1.30769230769231,1.0625,1.09677419354839,NA,NA,1.41666666666667,1.21428571428571,1.61904761904762
33,22,15,20,18,NA,NA,16,13,18,1.47619047619048,2.2,1.65,1.83333333333333,NA,NA,2.13333333333333,1.83333333333333,2.53846153846154,32,26,31,31,NA,NA,24,20,27,1,1.26923076923077,1.06451612903226,1.06451612903226,NA,NA,1.375,1.22222222222222,1.65
32,22,15,20,18,NA,NA,15,13,18,1.42857142857143,2.13333333333333,1.6,1.77777777777778,NA,NA,2.13333333333333,1.82352941176471,2.46153846153846,31,25,31,30,NA,NA,23,20,27,1,1.28,1.03225806451613,1.06666666666667,NA,NA,1.39130434782609,1.19230769230769,1.6
31,22,15,20,18,NA,NA,15,13,18,1.38095238095238,2.06666666666667,1.55,1.72222222222222,NA,NA,2.06666666666667,1.72222222222222,2.5,30,24,30,29,NA,NA,23,19,26,1,1.29166666666667,1.03333333333333,1.06896551724138,NA,NA,1.36363636363636,1.19230769230769,1.63157894736842
30,22,15,19,18,NA,NA,15,12,18,1.33333333333333,2,1.57894736842105,1.66666666666667,NA,NA,2,1.70588235294118,2.5,29,24,29,28,NA,NA,22,19,25,1,1.25,1.03448275862069,1.07142857142857,NA,NA,1.36363636363636,1.2,1.57894736842105
29,21,15,19,18,NA,NA,15,12,17,1.35,1.93333333333333,1.52631578947368,1.61111111111111,NA,NA,2,1.70588235294118,2.41666666666667,28,24,28,28,NA,NA,22,19,25,1,1.20833333333333,1.03571428571429,1.03571428571429,NA,NA,1.31818181818182,1.16,1.55555555555556
28,21,15,19,18,NA,NA,14,12,17,1.35,1.86666666666667,1.47368421052632,1.55555555555556,NA,NA,2,1.64705882352941,2.33333333333333,28,23,28,28,NA,NA,21,18,24,1,1.21739130434783,1,1,NA,NA,1.33333333333333,1.16666666666667,1.55555555555556
27,21,15,18,18,NA,NA,14,12,17,1.3,1.8,1.5,1.5,NA,NA,1.92857142857143,1.625,2.36363636363636,27,22,27,27,NA,NA,21,17,24,1,1.22727272727273,1,1,NA,NA,1.28571428571429,1.1304347826087,1.58823529411765
26,21,15,17,17,NA,NA,14,11,16,1.25,1.73333333333333,1.52941176470588,1.52941176470588,NA,NA,1.85714285714286,1.625,2.36363636363636,26,22,26,26,NA,NA,20,17,23,1,1.18181818181818,1,1,NA,NA,1.3,1.1304347826087,1.52941176470588
25,21,15,17,16,NA,NA,14,11,16,1.2,1.66666666666667,1.47058823529412,1.5625,NA,NA,1.84615384615385,1.5625,2.27272727272727,25,22,25,25,NA,NA,19,16,22,1,1.13636363636364,1,1,NA,NA,1.31578947368421,1.13636363636364,1.5625
24,20,14,17,16,NA,NA,13,11,16,1.21052631578947,1.71428571428571,1.41176470588235,1.5,NA,NA,1.84615384615385,1.5,2.18181818181818,24,21,24,24,NA,NA,19,16,22,1,1.14285714285714,1,1,NA,NA,1.26315789473684,1.0952380952381,1.5
23,20,14,16,16,NA,NA,13,11,16,1.15789473684211,1.64285714285714,1.4375,1.4375,NA,NA,1.76923076923077,1.46666666666667,2.09090909090909,23,20,23,23,NA,NA,18,16,21,1,1.15,1,1,NA,NA,1.27777777777778,1.0952380952381,1.46666666666667
22,19,14,16,15,NA,NA,13,10,15,1.16666666666667,1.57142857142857,1.375,1.46666666666667,NA,NA,1.75,1.46666666666667,2.2,22,19,22,22,NA,NA,18,15,20,1,1.15789473684211,1,1,NA,NA,1.23529411764706,1.1,1.46666666666667
21,18,14,16,15,NA,NA,12,10,15,1.17647058823529,1.5,1.3125,1.4,NA,NA,1.75,1.4,2.1,21,19,21,21,NA,NA,17,14,19,1,1.10526315789474,1,1,NA,NA,1.23529411764706,1.10526315789474,1.5
20,17,14,16,14,NA,NA,12,9,15,1.1875,1.42857142857143,1.25,1.42857142857143,NA,NA,1.66666666666667,1.35714285714286,2.11111111111111,20,18,20,20,NA,NA,16,14,19,1,1.11111111111111,1,1,NA,NA,1.25,1.05263157894737,1.46153846153846
19,17,14,15,13,NA,NA,12,9,14,1.125,1.35714285714286,1.26666666666667,1.46153846153846,NA,NA,1.58333333333333,1.35714285714286,2.11111111111111,19,17,19,19,NA,NA,16,13,18,1,1.11764705882353,1,1,NA,NA,1.2,1.05555555555556,1.46153846153846
18,16,14,14,13,NA,NA,11,9,14,1.13333333333333,1.28571428571429,1.28571428571429,1.38461538461538,NA,NA,1.63636363636364,1.28571428571429,2,18,17,18,18,NA,NA,15,13,17,1,1.05882352941176,1,1,NA,NA,1.2,1.05882352941176,1.41666666666667
17,15,13,14,13,NA,NA,11,9,13,1.14285714285714,1.30769230769231,1.21428571428571,1.30769230769231,NA,NA,1.54545454545455,1.25,2,17,16,17,17,NA,NA,14,12,16,1,1.0625,1,1,NA,NA,1.21428571428571,1.0625,1.41666666666667
16,15,13,14,13,NA,NA,11,8,13,1.07142857142857,1.23076923076923,1.14285714285714,1.23076923076923,NA,NA,1.5,1.23076923076923,2,16,16,16,16,NA,NA,14,11,16,1,1,1,1,NA,NA,1.15384615384615,1,1.45454545454545
15,15,12,13,13,9,NA,10,8,12,1,1.25,1.15384615384615,1.15384615384615,1.66666666666667,NA,1.5,1.25,1.875,15,15,15,15,12,NA,13,11,15,1,1,1,1,1.25,NA,1.15384615384615,1,1.36363636363636
14,14,11,13,13,NA,NA,10,8,12,1,1.27272727272727,1.07692307692308,1.07692307692308,NA,NA,1.4,1.16666666666667,1.85714285714286,14,14,14,14,NA,NA,12,10,14,1,1,1,1,NA,NA,1.16666666666667,1,1.4
13,13,10,12,12,NA,NA,9,7,11,1,1.3,1.08333333333333,1.08333333333333,NA,NA,1.44444444444444,1.18181818181818,1.85714285714286,13,13,13,13,NA,NA,12,9,13,1,1,1,1,NA,NA,1.09090909090909,1,1.44444444444444
12,12,10,11,11,NA,NA,9,7,11,1,1.2,1.09090909090909,1.09090909090909,NA,NA,1.33333333333333,1.09090909090909,1.71428571428571,12,12,12,12,NA,NA,11,9,12,1,1,1,1,NA,NA,1.09090909090909,1,1.33333333333333
11,11,10,11,10,NA,NA,8,6,10,1,1.1,1,1.1,NA,NA,1.375,1.1,1.83333333333333,11,11,11,11,NA,NA,10,8,11,1,1,1,1,NA,NA,1.1,1,1.375
10,10,9,10,9,NA,NA,8,6,9,1,1.11111111111111,1,1.11111111111111,NA,NA,1.25,1.11111111111111,1.66666666666667,10,10,10,10,NA,NA,9,7,10,1,1,1,1,NA,NA,1.11111111111111,1,1.28571428571429
9,9,8,9,8,NA,NA,7,5,9,1,1.125,1,1.125,NA,NA,1.28571428571429,1,1.8,9,9,9,9,NA,NA,8,7,9,1,1,1,1,NA,NA,1.125,1,1.28571428571429
8,8,7,8,8,NA,NA,7,5,8,1,1.14285714285714,1,1,NA,NA,1.14285714285714,1,1.6,8,8,8,8,NA,NA,7,6,8,1,1,1,1,NA,NA,1.14285714285714,1,1.33333333333333
7,7,7,7,7,NA,NA,6,4,7,1,1,1,1,NA,NA,1.16666666666667,1,1.75,7,7,7,7,NA,NA,7,5,7,1,1,1,1,NA,NA,1,1,1.4
6,6,6,6,6,NA,NA,5,4,6,1,1,1,1,NA,NA,1.2,1,1.5,6,6,6,6,NA,NA,6,5,6,1,1,1,1,NA,NA,1,1,1.2
5,5,5,5,5,NA,NA,5,3,5,1,1,1,1,NA,NA,1,1,1.66666666666667,5,5,5,5,NA,NA,5,4,5,1,1,1,1,NA,NA,1,1,1.25
4,4,4,4,4,NA,NA,4,3,4,1,1,1,1,NA,NA,1,1,1.33333333333333,4,4,4,4,NA,NA,4,3,4,1,1,1,1,NA,NA,1,1,1.33333333333333
3,3,3,3,3,NA,NA,3,2,3,1,1,1,1,NA,NA,1,1,1.5,3,3,3,3,NA,NA,3,2,3,1,1,1,1,NA,NA,1,1,1.5
